"platform","scope_or_preset","rule_family","registry_coordinates","default_or_custom","raw_stat_required","forecast_requirement","current_fsffl_status","exact_transform","nonlinear_or_predicate","primary_source","notes"
"Sleeper","configurable","passing core","OFF_PASS_YARDS;OFF_PASS_TD;OFF_PASS_INT;OFF_PASS_2PT","custom","totals/events","raw canonical stats","PARTIAL","2PT currently provisional","no","https://support.sleeper.com/en/articles/3998131-what-scoring-options-are-available","core linear supported except direct 2PT"
"Sleeper","configurable","passing efficiency/volume","OFF_PASS_ATT;OFF_PASS_COMP;OFF_PASS_INCOMP;OFF_PASS_SACK_TAKEN","custom","attempt/completion/sack counts","new Forecast metrics","UNSUPPORTED","INCOMP=ATT-COMP if complete","no","https://support.sleeper.com/en/articles/3998131-what-scoring-options-are-available",""
"Sleeper","configurable","passing first down / pick-six","OFF_PASS_FIRST_DOWN;OFF_PASS_PICK6_THROWN","custom","event counts","new metrics","UNSUPPORTED","none","no","https://support.sleeper.com/en/articles/3998131-what-scoring-options-are-available","pick-six stacks with interception"
"Sleeper","configurable","passing big play","OFF_PASS_COMPLETION_40_PLUS;OFF_PASS_TD_40_PLUS;OFF_PASS_TD_50_PLUS","custom","long-play event counts","new metrics","UNSUPPORTED","none","yes:event threshold","https://support.sleeper.com/en/articles/3998131-what-scoring-options-are-available","TD bonuses can stack"
"Sleeper","configurable","rushing core/volume/first down","OFF_RUSH_YARDS;OFF_RUSH_TD;OFF_RUSH_ATT;OFF_RUSH_FIRST_DOWN;OFF_RUSH_2PT","custom","totals/events","new attempts/FD/2PT evidence","PARTIAL","2PT currently prior","no","https://support.sleeper.com/en/articles/3998131-what-scoring-options-are-available",""
"Sleeper","configurable","receiving core / first down","OFF_REC;OFF_REC_YARDS;OFF_REC_TD;OFF_REC_FIRST_DOWN;OFF_REC_2PT","custom","totals/events","new FD/2PT evidence","PARTIAL","2PT currently prior","no","https://support.sleeper.com/en/articles/3998131-what-scoring-options-are-available",""
"Sleeper","configurable","position PPR / TE premium","RULE_POSITION_RECEPTION_BONUS","custom","receptions + primary position","position predicate","UNSUPPORTED","uses existing REC stat","predicate","https://support.sleeper.com/en/articles/3998131-what-scoring-options-are-available","bonus stacks with base PPR"
"Sleeper","configurable","receiving distance bands","OFF_REC_DISTANCE_BUCKET","custom","reception-length event buckets","bucket event Forecast","UNSUPPORTED","none","yes:exclusive bands","https://support.sleeper.com/en/articles/3998131-what-scoring-options-are-available","bands do not stack"
"Sleeper","configurable","offensive milestones","OFF_PASS_YARDS_GAME_BUCKET;OFF_RUSH_YARDS_GAME_BUCKET;OFF_REC_YARDS_GAME_BUCKET;OFF_COMBINED_RUSH_REC_GAME_BUCKET","custom","per-game stat distributions","game bucket probabilities/joint distribution","UNSUPPORTED","none from season totals","yes","https://support.sleeper.com/en/articles/3998131-what-scoring-options-are-available","ranges strict/non-stacking"
"Sleeper","configurable","kicking","K_FG_ATT;K_FG_MADE;K_FG_MISS;K_FG_MADE_DISTANCE;K_FG_MISS_DISTANCE;K_FG_MADE_YARDS;K_XP_ATT;K_XP_MADE;K_XP_MISS","custom","kick counts/distance","existing K metrics","PARTIAL","FGA-FGM and XPA-XPM exact when complete","mixed","https://support.sleeper.com/en/articles/3998131-what-scoring-options-are-available","blocked kick/PAT counts as miss"
"Sleeper","configurable","team defense events","DST_SACK;DST_INT;DST_FR;DST_FF;DST_SAFETY;DST_BLOCK;DST_DEF_TD;DST_DEF_2PT;DST_RETURN_YARDS;DST_PRESSURE_COVERAGE;DST_DRIVE_OUTCOMES","custom","team event counts/yards","existing D/ST metrics","PARTIAL","none needed for direct","no","https://support.sleeper.com/en/articles/3998131-what-scoring-options-are-available","Forecast/provider coverage incomplete"
"Sleeper","configurable","points/yards allowed","DST_POINTS_ALLOWED_LINEAR;DST_POINTS_ALLOWED_BUCKET;DST_YARDS_ALLOWED_LINEAR;DST_YARDS_ALLOWED_BUCKET","custom","platform-semantic PA/YA","linear totals or per-game distributions","PARTIAL","aggregate only for linear","yes:bucket","https://support.sleeper.com/en/articles/3998131-what-scoring-options-are-available","current engine has buckets but not linear per-point/per-yard"
"Sleeper","configurable","special teams player/team","DST_ST_TD;DST_ST_FF_FR;DST_RETURN_YARDS;OFF_PLAYER_KICK_RETURN_YARDS;OFF_PLAYER_PUNT_RETURN_YARDS;OFF_PLAYER_RETURN_TD","custom","ST events/yards","team and player coordinates","PARTIAL","none","no","https://support.sleeper.com/en/articles/3998131-what-scoring-options-are-available","player ST unsupported; team ST partially modeled"
"Sleeper","configurable","IDP","IDP_TACKLE;IDP_SOLO;IDP_ASSIST;IDP_SACK;IDP_SACK_YARDS;IDP_TFL_QBHIT_PD;IDP_INT_RET;IDP_FUMBLE;IDP_SAFETY_BLOCK;IDP_THRESHOLD_BONUS","custom","individual defensive stats","new IDP Forecast family","UNSUPPORTED","none","mixed","https://support.sleeper.com/en/articles/3998131-what-scoring-options-are-available","State lacks IDP positions/slots"
"ESPN","public PPR/non-PPR","core offense","OFF_PASS_YARDS;OFF_PASS_TD;OFF_PASS_INT;OFF_PASS_2PT;OFF_RUSH_YARDS;OFF_RUSH_TD;OFF_RUSH_2PT;OFF_REC;OFF_REC_YARDS;OFF_REC_TD;OFF_REC_2PT;OFF_FUMBLE_LOST","default","core totals/events","core Forecast stats + direct 2PT","PARTIAL","2PT prior only","no","https://support.espn.com/hc/en-us/articles/360003914032-Scoring-Formats","PPR adds reception; non-PPR does not"
