"coordinate_id","family","asset_type","scoring_shape","raw_stat_required","forecast_coordinate","documented_commercial_relevance","state_config_support","forecast_support","scoring_engine_support","provider_projection_coverage","uncertainty_calibration","priority","status","gap_reason"
"OFF_PASS_YARDS","offense","player:QB","linear_stat_total","passing yards","PASS_YARDS","major defaults","FULL","FULL","FULL","current multi-source offense","existing offense FP calibration","P0","FULL",""
"OFF_PASS_TD","offense","player:QB","linear_event_count","passing TD","PASS_TD","major defaults","FULL","FULL","FULL","current multi-source offense","existing offense FP calibration","P0","FULL",""
"OFF_PASS_INT","offense","player:QB","linear_event_count","interception thrown","INTERCEPTIONS","major defaults","FULL","FULL","FULL","current multi-source offense","existing offense FP calibration","P0","FULL",""
"OFF_PASS_ATT","offense","player:QB","linear_event_count","pass attempts","PASS_ATTEMPTS (new)","Sleeper/ESPN/Yahoo/NFL custom","FULL_RULE_KEY_ONLY","NONE","NONE","not retained by canonical offense adapters","none","P1","UNSUPPORTED","add canonical metric + preserve provider raw attempts"
"OFF_PASS_COMP","offense","player:QB","linear_event_count","pass completions","PASS_COMPLETIONS (new)","Sleeper/ESPN/Yahoo/NFL custom","FULL_RULE_KEY_ONLY","NONE","NONE","not retained","none","P1","UNSUPPORTED","add metric; provider acquisition"
"OFF_PASS_INCOMP","offense","player:QB","linear_event_count","incomplete passes","PASS_INCOMPLETIONS (new)","Sleeper/ESPN/Yahoo/NFL custom","FULL_RULE_KEY_ONLY","NONE","NONE","not retained","none","P1","UNSUPPORTED","can derive ATT-COMP only when same-horizon complete evidence exists"
"OFF_PASS_SACK_TAKEN","offense","player:QB","linear_event_count","QB sacks taken","PASS_SACKS_TAKEN (new)","Sleeper/ESPN/Yahoo/NFL custom","FULL_RULE_KEY_ONLY","NONE","NONE","not retained","none","P1","UNSUPPORTED","new metric; do not reuse team-defense sacks"
"OFF_PASS_FIRST_DOWN","offense","player:QB","linear_event_count","passing first downs","PASS_FIRST_DOWNS (new)","Sleeper custom; Fantrax examples","FULL_RULE_KEY_ONLY","NONE","NONE","not retained","none","P1","UNSUPPORTED","new metric"
"OFF_PASS_2PT","offense","player:QB","linear_event_count","successful passing 2PT","PASS_2PT (new)","major defaults/custom","FULL_RULE_KEY_ONLY","PROVISIONAL_PRIOR","PROVISIONAL","no direct canonical provider field","prior from TD count only","P0","PARTIAL","replace TD-rate prior with direct event forecast/evidence"
"OFF_PASS_PICK6_THROWN","offense","player:QB","linear_event_count","pick-six thrown","PASS_PICK_SIX_THROWN (new)","Sleeper/Yahoo custom","FULL_RULE_KEY_ONLY","NONE","NONE","not retained","none","P1","UNSUPPORTED","distinct from interception count because categories can stack"
"OFF_PASS_COMPLETION_40_PLUS","offense","player:QB","event_count_threshold","40+ yard completions","PASS_COMPLETION_40_PLUS (new)","Sleeper/Yahoo custom","FULL_RULE_KEY_ONLY","NONE","NONE","not retained","none","P2","UNSUPPORTED","event-count forecast required"
"OFF_PASS_TD_40_PLUS","offense","player:QB","event_count_threshold","40+ yard pass TD","PASS_TD_40_PLUS (new)","Sleeper/ESPN/Yahoo/NFL/Fantrax custom","FULL_RULE_KEY_ONLY","NONE","NONE","not retained","none","P1","UNSUPPORTED","cannot derive from total pass TD"
"OFF_PASS_TD_50_PLUS","offense","player:QB","event_count_threshold","50+ yard pass TD","PASS_TD_50_PLUS (new)","Sleeper/ESPN/NFL/Fantrax custom","FULL_RULE_KEY_ONLY","NONE","NONE","not retained","none","P1","UNSUPPORTED","event-count forecast required"
"OFF_PASS_YARDS_GAME_BUCKET","offense","player:QB","per_game_bucket_distribution","300-399 / 400+ passing yards","PASS_YARDS_GAME_DISTRIBUTION (new)","Sleeper/ESPN/NFL/DraftKings","RULE_SCHEMA_INADEQUATE","NONE","NONE","not retained","none","P0","UNSUPPORTED","expected season yards cannot price weekly milestone bonuses"
"OFF_RUSH_YARDS","offense","player:QB/RB/WR/TE","linear_stat_total","rushing yards","RUSH_YARDS","major defaults","FULL","FULL","FULL","current multi-source offense","existing offense FP calibration","P0","FULL",""
"OFF_RUSH_TD","offense","player:QB/RB/WR/TE","linear_event_count","rushing TD","RUSH_TD","major defaults","FULL","FULL","FULL","current multi-source offense","existing offense FP calibration","P0","FULL",""
"OFF_RUSH_ATT","offense","player","linear_event_count","rushing attempts/carries","RUSH_ATTEMPTS (new)","Sleeper/ESPN/Yahoo/NFL custom","FULL_RULE_KEY_ONLY","NONE","NONE","not retained","none","P1","UNSUPPORTED","add metric; supports PPC and volume bonuses"
"OFF_RUSH_FIRST_DOWN","offense","player","linear_event_count","rushing first downs","RUSH_FIRST_DOWNS (new)","Sleeper custom; Fantrax examples","FULL_RULE_KEY_ONLY","NONE","NONE","not retained","none","P1","UNSUPPORTED","add metric"
"OFF_RUSH_2PT","offense","player","linear_event_count","successful rushing 2PT","RUSH_2PT (new)","major defaults/custom","FULL_RULE_KEY_ONLY","PROVISIONAL_PRIOR","PROVISIONAL","no direct canonical provider field","prior from TD count only","P0","PARTIAL","replace prior with direct event evidence"
"OFF_RUSH_40_PLUS","offense","player","event_count_threshold","40+ yard rush","RUSH_40_PLUS (new)","Sleeper custom","FULL_RULE_KEY_ONLY","NONE","NONE","not retained","none","P2","UNSUPPORTED","event-count forecast required"
"OFF_RUSH_TD_40_PLUS","offense","player","event_count_threshold","40+ rush TD","RUSH_TD_40_PLUS (new)","Sleeper/ESPN/NFL/Fantrax custom","FULL_RULE_KEY_ONLY","NONE","NONE","not retained","none","P1","UNSUPPORTED",""
"OFF_RUSH_TD_50_PLUS","offense","player","event_count_threshold","50+ rush TD","RUSH_TD_50_PLUS (new)","Sleeper/ESPN/NFL/Fantrax custom","FULL_RULE_KEY_ONLY","NONE","NONE","not retained","none","P1","UNSUPPORTED",""
"OFF_RUSH_YARDS_GAME_BUCKET","offense","player","per_game_bucket_distribution","100-199 / 200+ rushing game","RUSH_YARDS_GAME_DISTRIBUTION (new)","Sleeper/ESPN/NFL/DraftKings","RULE_SCHEMA_INADEQUATE","NONE","NONE","not retained","none","P0","UNSUPPORTED","requires per-game distribution, not season mean"
"OFF_REC","offense","player:RB/WR/TE","linear_event_count","receptions","RECEPTIONS","PPR/half-PPR defaults","FULL","FULL","FULL","current multi-source offense","existing offense FP calibration","P0","FULL",""
"OFF_REC_YARDS","offense","player","linear_stat_total","receiving yards","REC_YARDS","major defaults","FULL","FULL","FULL","current multi-source offense","existing offense FP calibration","P0","FULL",""
"OFF_REC_TD","offense","player","linear_event_count","receiving TD","REC_TD","major defaults","FULL","FULL","FULL","current multi-source offense","existing offense FP calibration","P0","FULL",""
"OFF_TARGETS","offense","player","linear_event_count","receiving targets","RECEIVING_TARGETS (new)","ESPN custom","RULE_SCHEMA_CAN_HOLD_KEY","NONE","NONE","not retained","none","P2","UNSUPPORTED","preserve because provider projections commonly expose targets"
"OFF_REC_FIRST_DOWN","offense","player","linear_event_count","receiving first downs","REC_FIRST_DOWNS (new)","Sleeper custom; Fantrax examples","FULL_RULE_KEY_ONLY","NONE","NONE","not retained","none","P1","UNSUPPORTED",""
"OFF_REC_2PT","offense","player","linear_event_count","successful receiving 2PT","REC_2PT (new)","major defaults/custom","FULL_RULE_KEY_ONLY","PROVISIONAL_PRIOR","PROVISIONAL","no direct canonical provider field","prior from TD count only","P0","PARTIAL","replace prior with direct event evidence"
"OFF_REC_DISTANCE_BUCKET","offense","player","event_count_bucket_vector","reception distance bands","REC_DISTANCE_BUCKETS (new)","Sleeper custom; Fantrax examples","RULE_SCHEMA_INADEQUATE","NONE","NONE","not retained","none","P2","UNSUPPORTED","non-stacking bucket semantics required"
"OFF_REC_TD_40_PLUS","offense","player","event_count_threshold","40+ receiving TD","REC_TD_40_PLUS (new)","Sleeper/ESPN/NFL/Fantrax custom","FULL_RULE_KEY_ONLY","NONE","NONE","not retained","none","P1","UNSUPPORTED",""
